nota_fiscal;estabelecimento;pn_fornecedor;descricao_fornecedor;data_fiscal;item;numero_processo;Contrato;status_do_contrato;vencimento;depto_de_compras;quantidade_unidade_estoque;preco_total_linha;cond.pagamento;departamento;família;gestão;curva
6996;VIES;070075967;L.R RESTAURANTE E L EIRELI EPP;18/02/2025;DCN210690914;OC0044918;CS0000961;Concluído;31/03/2050;VIESAD;21;258,3;15 DIAS;;;ADMINISTRATIVO;A
151394;VIES;090073255;ATLAS COPCO BRASIL LTDA;18/02/2025;DCSR00140101;OC0045057;CS0000838;Ativo;31/01/2027;VIESFB;1;4845,29;30 DIAS;MANUFATURA VIES;MANUTENÇÃO MECÂNICA;INDUSTRIAL VIES;B
6996;VIES;070075967;L.R RESTAURANTE E L EIRELI EPP;18/02/2025;DCN220110002;OC0044918;CS0000961;Concluído;31/03/2050;VIESAD;72;244,08;15 DIAS;;;ADMINISTRATIVO;A
6996;VIES;070075967;L.R RESTAURANTE E L EIRELI EPP;18/02/2025;DCN170199001;OC0044918;CS0000961;Concluído;31/03/2050;VIESAD;100;10;15 DIAS;;;ADMINISTRATIVO;A
115;VIES;070091194;MANOEL SEVERO DA SILVA;18/02/2025;DCSR00070203;OC0045107;CS0001035;Ativo;30/12/2026;VIESFB;1;5200;30 DIAS;MANUFATURA VIES;TERCEIROS ;INDUSTRIAL VIES;C
10546;VIES;070090912;GLOBAL MOVING SOLUTIONS LTDA;18/02/2025;DCSR99999918;OC0045083;CS0001049;Ativo;30/07/2026;VIESFB;1;2850;20 DIAS;MANUFATURA VIES;LOCAÇÕES EQUIPAMENTOS / VEÍCULOS;INDUSTRIAL VIES;B
2140686;VIES;070001460;LOCALIZA FLEET S.A.;18/02/2025;DCSR99999902;OC0044974;CS0000922;Ativo;30/12/2026;VIESAD;17326,68;17326,68;30 DIAS;RECURSOS HUMANOS;LOCAÇÕES EQUIPAMENTOS / VEÍCULOS;ADMINISTRATIVO;A
2353911;VIES;070001460;LOCALIZA FLEET S.A.;18/02/2025;DCSR99999902;OC0044977;CS0000922;Ativo;30/12/2026;VIESAD;794;794;30 DIAS;RECURSOS HUMANOS;LOCAÇÕES EQUIPAMENTOS / VEÍCULOS;ADMINISTRATIVO;A
37410581;VIES;070001496;NOTRE DAME INTERMEDICA SAUDE S.A.;18/02/2025;DCSR00042202;OC0045013;CS0000934;Concluído;31/03/2050;VIESAD;65732,17;65732,17;30 DIAS;;;ADMINISTRATIVO;A
100641;VIES;090006275;EXC CARD ADM PROCE. CARTOES SA;18/02/2025;DCSR00150101;OC0045068;CS0000950;Ativo;31/12/2026;VIESAD;18576,7;18576,7;20 DIAS;RECURSOS HUMANOS;BENEFICIO ;ADMINISTRATIVO;C
6504;VIES;070091935;ATT CORREIA LTDA;18/02/2025;DCSR00070916;OC0044881;CS0001089;Concluído;30/03/2027;VIESFB;1;370;30 DIAS;MANUFATURA VIES;SERVIÇOS PRESTADOS;INDUSTRIAL VIES;C
1200;VIES;090008323;EROMOLD IND.COM.PLASTICOS LTDA;18/02/2025;DCSR00140507;OC0045005;CS0000842;Ativo;04/04/2027;VIESFB;1;360;45 DIAS;MANUFATURA VIES;MANUTENÇÃO FERRAMENTAIS;INDUSTRIAL VIES;C
6996;VIES;070075967;L.R RESTAURANTE E L EIRELI EPP;18/02/2025;DCN210690902;OC0044918;CS0000961;Concluído;31/03/2050;VIESAD;3;16,26;15 DIAS;;;ADMINISTRATIVO;A
6996;VIES;070075967;L.R RESTAURANTE E L EIRELI EPP;18/02/2025;DCN210690901;OC0044918;CS0000961;Concluído;31/03/2050;VIESAD;2238;32137,68;15 DIAS;;;ADMINISTRATIVO;A
283;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;18/02/2025;DCN190520903;OC0044990;CS0000964;Ativo;05/08/2026;SRSADM;2799;10300,32;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
283;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;18/02/2025;DCN220110002;OC0044990;CS0000964;Ativo;05/08/2026;SRSADM;74;244,2;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
283;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;18/02/2025;DCN210111901;OC0044990;CS0000964;Ativo;05/08/2026;SRSADM;84;370,44;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
90;VIES;070091680;HASHTAG SERVICOS DE MANUTENCAO LTDA;18/02/2025;DCSR00170514;OC0044474;CS0001072;Ativo;31/12/2026;VIESFB;1;40762,7;30 DIAS;MANUFATURA VIES;TERCEIROS ;INDUSTRIAL VIES;B
283;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;18/02/2025;DCN190509005;OC0044990;CS0000964;Ativo;05/08/2026;SRSADM;213;1686,96;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
